ID	Título	Data	Valor
0	Discurso do Presidente da República, Michel Temer, na Abertura do Debate Geral da 72º Sessão da Assembleia Geral da ONU – Nova York, 19 de setembro de 2017	19/09/2017	-16,23
1	Discurso do Presidente da República, Michel Temer, durante Diálogo dos Chefes de Estado e de Governo do Brics e das Economias Emergentes e Países em Desenvolvimento — Xiamen-China, 5 de setembro de 2017	05/09/2017	22,05
2	Discurso do Presidente da República, Michel Temer, durante reunião reduzida dos Chefes de Estado e de Governo do Brics – Xiamen-China, 4 de setembro de 2017	04/09/2017	205,72
3	Discurso do Presidente da República, Michel Temer, durante reunião ampliada dos Chefes de Estado e de Governo do Brics – Xiamen-China, 4 de setembro de 2017	04/09/2017	205,72
4	Temer, durante Diálogo dos Chefes de Estado e de Governo do Brics com o Conselho Empresarial do Brics – Xiamen-China, 4 de setembro de 2017	04/09/2017	205,72
5	Discurso do Presidente da República, Michel Temer, durante cerimônia de abertura do Fórum Empresarial do Brics – Xiamen-China, 3 de setembro de 2017	03/09/2017	205,72
6	Discurso do Presidente da República, Michel Temer, durante Cerimônia de Encerramento do Seminário sobre Oportunidade de Investimento – Pequim-China, 2 de setembro de 2017	02/09/2017	205,72
7	Discurso do Presidente da República, Michel Temer, durante almoço oferecido ao presidente do Paraguai, Horacio Cartes - Palácio do Itamaraty, 21 de agosto de 2017	09/08/2017	-227,87
8	Discurso do Presidente da República, Michel Temer, durante a Solenidade de Abertura da XXXVI edição do Encontro Nacional de Comércio Exterior - ENAEX 2017 – Rio de Janeiro, 9 de agosto de 2017	09/08/2017	-227,87
9	Discurso do Presidente da República, Michel Temer, durante Sessão Plenária dos Senhores Presidentes dos Estados Membros do Mercosul, Estados Associados, México e Convidados Especiais – Mendoza/Argentina, 21 de julho de 2017	21/07/2017	-253,84
10	Discurso do Presidente da República, Michel Temer, durante a XXII Reunião Ordinária do Conselho de Ministros da Comunidade dos Países de Língua Portuguesa (CPLP) – Palácio do Itamaraty, 20 de julho de 2017	20/07/2017	-241,9
11	Discurso do Presidente da República, Michel Temer, durante a segunda Sessão de Trabalho – Hamburgo-Alemanha, 7 de julho de 2017	07/07/2017	-147,93
12	Discurso do Presidente da República, Michel Temer, durante a reunião dos Chefes de Estado e de Governo do BRICS – Hamburgo-Alemanha, 7 de julho de 2017	07/07/2017	-147,93
13	Discurso do Presidente da República, Michel Temer, durante abertura da 15ª Conferência dos Ministros da Justiça da Comunidade dos Países de Língua Portuguesa - CPLP – Brasília, 29 de junho de 2017	29/06/2017	220,99
14	Discurso do Presidente da República, Michel Temer, na conferência de imprensa após encontro com a primeira-ministra da Noruega, Erna Solberg – Oslo, Noruega, 23 de junho de 2017	24/06/2017	1100,95
15	Declaração à imprensa do Presidente da República, Michel Temer, após encontro com o presidente do Parlamento da Noruega, Olemic Thommessen – Oslo, Noruega, 23 de junho de 2017	23/06/2017	-185,08
16	Discurso do Presidente da República, Michel Temer, durante Encontro com investidores noruegueses – Oslo, Noruega, 22 de junho de 2017	22/06/2017	510,48
17	Discurso do Presidente da República, Michel Temer, durante Cerimônia de Assinatura de Atos – Moscou, Rússia, 21 de junho de 2017	21/06/2017	-4,42
18	Discurso do Presidente da República, Michel Temer, durante encontro com a Senadora Valentina Matvienko, Presidente do Conselho da Federação da Rússia – Moscou, Rússia, 21 de junho de 2017	21/06/2017	-4,42
19	Discurso do Presidente da República, Michel Temer, durante encontro com o Presidente da Duma de Estado, Deputado Vyacheslav Volodin – Moscou, Rússia, 20 de junho de 2017	20/06/2017	-1247,87
20	Discurso do Presidente da República, Michel Temer, durante Seminário de Captação de Investimentos Russos no Brasil – Moscou, Rússia, 20 de junho de 2017	20/06/2017	-1247,87
21	Discurso do Presidente da República, Michel Temer, durante cerimônia em Comemoração ao Dia Mundial do Meio Ambiente – Brasília, 5 de junho de 2017	05/06/2017	-60,24
22	Discurso do Presidente da República, Michel Temer, durante abertura oficial do Fórum de Investimentos Brasil 2017 – São Paulo, 30 de maio de 2017	30/05/2017	201,32
23	Discurso do Presidente da República, Michel Temer, durante Reunião Bilateral com o presidente do Governo da Espanha, Mariano Rajoy – Palácio do Planalto, 24 de abril de 2017	24/04/2017	628,4
24	Discurso do Presidente da República, Michel Temer, durante cerimônia de formatura de duas turmas do Instituto Rio Branco – Palácio Itamaraty, 20 de abril de 2017	20/04/2017	353,65
25	Brinde do Presidente da República, Michel Temer, durante almoço em homenagem ao Rei e Rainha da Suécia – Palácio Itamaraty, 6 de abril de 2017	06/04/2017	-552,05
26	Discurso do Presidente da República, Michel Temer, durante encontro com a Delegação de Deputadas integrantes da Rede de Mulheres da Assembleia Parlamentar da Comunidade de Países de Língua Portuguesa - AP-CPLP – Palácio do Planalto, 5 de abril de 2017	05/04/2017	-994,14
27	Discurso do Presidente da República, Michel Temer, durante cerimônia de abertura do Global Child Forum on South America – São Paulo, 4 de abril de 2017	04/04/2017	557,43
28	Discurso do Presidente da República, Michel Temer, durante jantar oferecido pelo governador de São Paulo aos Reis da Suécia, Carlos XVI Gustavo e Silvia – São Paulo, 3 de abril de 2017	04/04/2017	557,43
29	Discurso do Presidente da República, Michel Temer, durante encerramento do Conselho Empresarial Brasil-Suécia, com a presença do Rei Carlos XVI Gustavo e da Rainha Silvia – São Paulo, 3 de abril de 2017	03/04/2017	227,41
30	Discurso do presidente da República, Michel Temer, durante a cerimônia de lançamento do Novo Processo de Exportações do Portal Único de Comércio Exterior – Palácio do Planalto, 23 de março de 2017	23/03/2017	9,46
31	Discurso do presidente da República, Michel Temer, durante a Conferência das Cidades Latino-Americanas 2017 – Brasília, 21 de março de 2017	21/03/2017	-1903,9
32	Discurso do presidente da República, Michel Temer, durante Reunião com Embaixadores dos maiores mercados importadores de carne do Brasil – Palácio do Planalto, 19 de março de 2017	19/03/2017	674,33
33	Discurso do Presidente da República, Michel Temer, durante cerimônia de posse dos Ministros da Justiça e Segurança Pública, Osmar Serraglio, e das Relações Exteriores, Aloysio Nunes Ferreira – Brasília, 7 de março de 2017	08/03/2017	-1024,31
34	Brinde do Presidente da República, Michel Temer, durante almoço oferecido ao Presidente da República Argentina, Mauricio Macri – Palácio Itamaraty, 7 de fevereiro de 2017	07/02/2017	205,96
35	Declaração à Imprensa do Presidente da República, Michel Temer, após Assinatura de Atos com o presidente da República Argentina, Mauricio Macri – Palácio do Planalto, 7 de fevereiro de 2017	07/02/2017	205,96
36	Discurso do presidente da República, Michel Temer, durante cerimônia do Dia Internacional em Memória das Vítimas do Holocausto – São Paulo, 29 de janeiro de 2017	30/01/2017	-1732,26
37	Discurso do Presidente da República, Michel Temer, durante Cerimônia de entrega da Ordem de Rio Branco e da Ordem do Mérito da Defesa a cidadãos colombianos e ao Prefeito de Chapecó – Palácio do Planalto, 16 de dezembro de 2016	16/12/2016	-7,12
38	Discurso do Presidente da República, Michel Temer, durante cerimônia de abertura do Congresso da Diáspora Libanesa da América Latina – São Paulo, 27 de novembro de 2016	27/11/2016	1296,42
39	Discurso do Presidente da República, Michel Temer, durante reunião Ministerial do Cone Sul sobre Segurança nas Fronteiras – Brasília, 16 de novembro de 2016	17/11/2016	-988,85
40	Discurso do Presidente da República, Michel Temer, durante Sessão Solene de Encerramento da XI Conferência de Chefes de Estado e de Governo da Comunidade dos Países de Língua Portuguesa – Palácio Itamaraty, 1º de novembro de 2016	01/11/2016	-1598,1
41	Discurso do Presidente da República, Michel Temer, durante sessão solene de abertura da XI Conferência de Chefes de Estado e de Governo da CPLP – Palácio Itamaraty, 31 de outubro de 2016	31/10/2016	616,89
42	Discurso do Presidente da República, Michel Temer, durante cerimônia de entrega de condecorações da Ordem Nacional do Cruzeiro do Sul a juristas estrangeiros – Brasília, 27 de outubro de 2016	28/10/2016	58,12
43	Discurso do presidente da República, Michel Temer, em encontro com empresários japoneses – Tóquio, 19 de outubro de 2016	19/10/2016	-276,6
44	Declaração à imprensa, do senhor presidente da República, Michel Temer, durante a cerimônia de intercâmbio de atos bilaterais – Goa, 17 de outubro de 2016	17/10/2016	1086,1
45	Discurso do presidente da República, Michel Temer, na Cúpula ampliada dos Chefes de Estado e de Governo do BRICS e do BIMSTEC – Goa, 16 de outubro de 2016	16/10/2016	928,89
46	Palavras do senhor presidente da República, Michel Temer, em Sessão Plenária da VIII Cúpula do BRICS – Goa, 16 de outubro de 2016	16/10/2016	928,89
47	Palavras do senhor presidente da República, Michel Temer, em reunião dos Chefes de Estado do BRICS com o Conselho Empresarial do BRICS – Goa, 16 de outubro de 2016	16/10/2016	928,89
48	Discurso do senhor presidente da República, Michel Temer, durante encontro privado dos Chefes de Estado e de Governo do BRICS – Goa, 16 de outubro de 2016	16/10/2016	928,89
49	Brinde do Presidente da República, Michel Temer, durante almoço oferecido pelo Presidente da República Argentina, Mauricio Macri – Buenos Aires – 3 de outubro de 2016	05/10/2016	915,11
50	Declaração à imprensa do Presidente da República, Michel Temer, na chegada a Assunção – 3 de outubro de 2016	05/10/2016	915,11
51	Discurso do Presidente da República, Michel Temer, durante abertura da 111ª reunião do Conselho da Câmara de Comércio Exterior - CAMEX — Palácio do Planalto, 28 de setembro de 2016	28/09/2016	973,28
52	Discurso do Presidente da República, Michel Temer, durante almoço ampliado com Empresários e Investidores, promovido pelo Conselho das Américas – Nova York, 21 de setembro de 2016	21/09/2016	657,46
53	Pronunciamento do Senhor Presidente da República, Michel Temer, durante Abertura do Debate Geral da 71ª Assembleia Geral das Nações Unidas – Nova York, 20 de setembro de 2016	20/09/2016	386,08
54	Discurso do Senhor Presidente da República, Michel Temer, durante Reunião Alto Nível sobre Grandes Movimentos de Refugiados e Migrantes – Nova York, 19 de setembro de 2016	19/09/2016	270,62
55	Discurso do presidente da República, Michel Temer, por ocasião da cerimônia de ratificação do Acordo de Paris sobre mudança do clima	12/09/2016	586,38
56	Discurso do presidente da República, Michel Temer, durante almoço de trabalho e Quarta Sessão de Trabalho da Cúpula do G20 – Hangzhou, China, 5 de setembro de 2016	05/09/2016	-50,05
57	Discurso do presidente da República, Michel Temer, durante reunião de líderes do BRICS – Hangzhou, China, 4 de setembro de 2016	04/09/2016	1330,08
58	Discurso do Presidente da República, Michel Temer, durante cerimônia de encerramento do Seminário Empresarial de Alto Nível Brasil-China – Xangai, China, 2 de setembro de 2016	02/09/2016	1380,13
59	Discurso do Presidente da República em exercício, Michel Temer, durante cerimônia de apresentação da Delegação de Atletas Olímpicos – Brasília, 13 de julho de 2016	13/07/2016	341,88
60	Discurso do Presidente da República em exercício, Michel Temer, durante cerimônia de posse dos novos ministros de estado – Brasília, 12 de maio de 2016	12/05/2016	476,86
61	Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia da União das Américas por ocasião da chegada da Chama Olímpica Rio 2016 em Brasília – Brasília, 03 de maio de 2016	04/05/2016	292,61
62	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da cerimônia de Assinatura do Acordo de Paris – Nova York, 22 de abril de 2016	22/04/2016	-723,05
63	Discurso da Presidenta da República, Dilma Rousseff, durante almoço oferecido pela Presidenta do Chile, Michelle Bachelet, em homenagem à Presidenta da República – Santiago, 26 de fevereiro de 2016	26/02/2016	-294,82
64	Pronunciamento da Presidenta da República, Dilma Rousseff, em cadeia nacional de rádio e televisão, sobre o combate ao mosquito Aedes aegypti, transmissor do vírus Zika – 3 de fevereiro de 2016	03/02/2016	992,65
65	Discurso da Presidenta da República, Dilma Rousseff, durante almoço em homenagem ao presidente do Estado Plurinacional da Bolívia, Evo Morales – Brasília, 2 de fevereiro de 2016	02/02/2016	-1973,87
66	Declaração à imprensa da Presidenta da República, Dilma Rousseff, após reunião ampliada com o Presidente do Estado Plurinacional da Bolívia, Evo Morales – Brasília, 2 de fevereiro de 2016	02/02/2016	-1973,87
67	Discurso da Presidenta da República, Dilma Rousseff, durante almoço em homenagem ao presidente da Bulgária, Rosen Plevneliev – Brasília, 1° de fevereiro de 2016	01/02/2016	164,05
68	Declaração à imprensa da Presidenta da República, Dilma Rousseff, após cerimônia de assinatura de atos com o presidente da República da Bulgária, Rosen Plevneliev – Brasília, 1º de fevereiro de 2016	01/02/2016	164,05
69	Discurso da Presidenta da República, Dilma Rousseff, durante jantar oferecido pelo presidente do Equador, Rafael Correa – Quito, 27 de janeiro de 2016	27/01/2016	878,89
70	Declaração à imprensa da Presidenta da República, Dilma Rousseff, após reunião ampliada com o Presidente do Equador, Rafael Correa – Quito, 26 de janeiro de 2016	26/01/2016	-533,74
71	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da XLIX Cúpula dos Estados Partes do MERCOSUL e Estados Associados – Assunção, 21 de dezembro de 2015	21/12/2015	-710,65
72	Discurso da Presidenta da República, Dilma Rousseff, durante Sessão de Abertura da 21º Conferência das Partes da Convenção-Quadro das Nações Unidas sobre a Mudança do Clima - COP21 – Paris, 30 de novembro de 2015	30/11/2015	-752,56
73	Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de abertura da 2ª Conferência Global de Alto Nível sobre Segurança no Trânsito – Brasília, 18 de novembro de 2015	20/11/2015	703,31
74	Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de abertura do 20º Congresso Mundial da Consumers International – Brasília, 19 de novembro de 2015	19/11/2015	703,31
75	Discurso da Presidenta da República, Dilma Rousseff, na abertura do Seminário Empresarial Suécia-Brasil – Estocolmo, 19 de outubro de 2015	19/10/2015	211,21
76	Discurso da Presidenta da República, Dilma Rousseff, durante almoço oferecido pelo presidente da Colômbia e senhora Maria Clemência Rodriguez de Santos em homenagem à presidenta da República, Bogotá, 9 de outubro de 2015	09/10/2015	231,85
77	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da sessão de encerramento do Encontro Empresarial Brasil-Colômbia – Bogotá, 9 de outubro de 2015	09/10/2015	231,85
78	Declaração à imprensa da Presidenta da República, Dilma Rousseff, após cerimônia de assinatura de atos – Bogotá, 9 de outubro de 2015	09/10/2015	231,85
79	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da Abertura da Septuagésima Assembleia Geral das Nações Unidas – Nova York, 28 de setembro de 2015	28/09/2015	-874,83
80	Discurso da Presidenta da República, Dilma Rousseff, durante Encontro de líderes globais sobre igualdade de gênero e empoderamento das mulheres: um compromisso para a ação – Nova York, 27 de setembro de 2015	27/09/2015	-1335,34
81	Discurso da Presidenta da República, Dilma Rousseff, durante Sessão Plenária da Conferência das Nações Unidas para a Agenda de Desenvolvimento Pós-2015 – Nova York, 27 de setembro de 2015	27/09/2015	-1335,34
82	Discurso da Presidenta da República, Dilma Roussef, por ocasião da Reunião de Cúpula do G4 – Nova York, 26 de setembro de 2015	26/09/2015	-1383,48
83	Discurso da Presidenta da República, Dilma Rousseff, por ocasião de formatura da Turma de 2010-2012 do Instituto Rio Branco - Brasília, 20 de abril de 2012	24/08/2015	-2312,76
84	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do almoço em homenagem à Chanceler da República Federal da Alemanha, Angela Merkel – Brasília, 20 de agosto de 2015	20/08/2015	60,84
85	Declaração à Imprensa da presidenta da República, Dilma Rousseff, por ocasião da visita da Chanceler da Alemanha, Angela Merkel – 20 de agosto de 2015	20/08/2015	60,84
86	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da cerimônia de formatura da Turma Paulo Kol (2013-2015) do Instituto Rio Branco – Brasília, 12 de agosto de 2015	12/08/2015	-684,29
87	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da cerimônia de celebração de 1 ano para os Jogos Olímpicos Rio 2016 – Rio de Janeiro, 5 de agosto de 2015	05/08/2015	228,78
88	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do almoço em homenagem aos Chefes dos Estados-Partes do Mercosul e Estados Associados – Brasília, 17 de julho de 2015	17/07/2015	-727,95
89	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da abertura da 48ª Cúpula do Mercosul – Brasília, 17 de julho 2015	17/07/2015	-727,95
90	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião da reunião de trabalho com o Primeiro-Ministro da Itália, Matteo Renzi – Roma, 10 de julho de 2015	10/07/2015	808,97
91	Discurso da presidenta da República, Dilma Rousseff, por ocasião da Sessão plenária dos chefes de Estado e de Governo dos Brics – Ufá, 9 de julho de 2015	09/07/2015	808,97
92	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do Encontro de chefes de Estado e de Governo dos Brics com o Conselho Empresarial do grupo – Ufá, 9 de julho de 2015	09/07/2015	-561,97
93	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do encerramento da Cúpula Empresarial Brasil-Estados Unidos – Washington, 30 de junho de 2015	30/06/2015	66,67
